"CURRENCY_ID","CURRENCY_CODE","CURRENCY_CURRENCY_CODE","CURRENCY_NAME","CURRENCY_SUPPORTED"
"1","FJD","FJD","FJD","true"
"2","MXN","MXN","MXN","true"
"3","STD","STD","STD","true"
"4","LVL","LVL","LVL","true"
"5","SCR","SCR","SCR","true"
"6","CDF","CDF","CDF","true"
"7","BBD","BBD","BBD","true"
"8","GTQ","GTQ","GTQ","true"
"9","CLP","CLP","CLP","true"
"10","HNL","HNL","HNL","true"
"11","UGX","UGX","UGX","true"
"12","ZAR","ZAR","ZAR","true"
"13","MXV","MXV","MXV","true"
"14","TND","TND","TND","true"
"15","BSD","BSD","BSD","true"
"16","SLL","SLL","SLL","true"
"17","SDG","SDG","SDG","true"
"18","IQD","IQD","IQD","true"
"19","CUP","CUP","CUP","true"
"20","GMD","GMD","GMD","true"
"21","TWD","TWD","TWD","true"
"22","RSD","RSD","RSD","true"
"23","DOP","DOP","DOP","true"
"24","KMF","KMF","KMF","true"
"25","MYR","MYR","MYR","true"
"26","FKP","FKP","FKP","true"
"27","XOF","XOF","XOF","true"
"28","GEL","GEL","GEL","true"
"29","UYU","UYU","UYU","true"
"30","MAD","MAD","MAD","true"
"31","CVE","CVE","CVE","true"
"32","AZN","AZN","AZN","true"
"33","OMR","OMR","OMR","true"
"34","PGK","PGK","PGK","true"
"35","KES","KES","KES","true"
"36","SEK","SEK","SEK","true"
"37","BTN","BTN","BTN","true"
"38","UAH","UAH","UAH","true"
"39","GNF","GNF","GNF","true"
"40","ERN","ERN","ERN","true"
"41","MZN","MZN","MZN","true"
"42","SVC","SVC","SVC","true"
"43","ARS","ARS","ARS","true"
"44","QAR","QAR","QAR","true"
"45","IRR","IRR","IRR","true"
"46","MRO","MRO","MRO","true"
"47","CNY","CNY","CNY","true"
"48","XPF","XPF","XPF","true"
"49","THB","THB","THB","true"
"50","UZS","UZS","UZS","true"
"51","BDT","BDT","BDT","true"
"52","LYD","LYD","LYD","true"
"53","BMD","BMD","BMD","true"
"54","KWD","KWD","KWD","true"
"55","PHP","PHP","PHP","true"
"56","RUB","RUB","RUB","true"
"57","PYG","PYG","PYG","true"
"58","ISK","ISK","ISK","true"
"59","JMD","JMD","JMD","true"
"60","COP","COP","COP","true"
"61","USD","USD","USD","true"
"62","MKD","MKD","MKD","true"
"63","DZD","DZD","DZD","true"
"64","PAB","PAB","PAB","true"
"65","SGD","SGD","SGD","true"
"66","ETB","ETB","ETB","true"
"67","KGS","KGS","KGS","true"
"68","SOS","SOS","SOS","true"
"69","VUV","VUV","VUV","true"
"70","VEF","VEF","VEF","true"
"71","LAK","LAK","LAK","true"
"72","BND","BND","BND","true"
"73","ZMK","ZMK","ZMK","true"
"74","XAF","XAF","XAF","true"
"75","LRD","LRD","LRD","true"
"76","HRK","HRK","HRK","true"
"77","CHF","CHF","CHF","true"
"78","ALL","ALL","ALL","true"
"79","DJF","DJF","DJF","true"
"80","TZS","TZS","TZS","true"
"81","VND","VND","VND","true"
"82","AUD","AUD","AUD","true"
"83","ILS","ILS","ILS","true"
"84","GHS","GHS","GHS","true"
"85","GYD","GYD","GYD","true"
"86","KPW","KPW","KPW","true"
"87","BOB","BOB","BOB","true"
"88","KHR","KHR","KHR","true"
"89","MDL","MDL","MDL","true"
"90","IDR","IDR","IDR","true"
"91","KYD","KYD","KYD","true"
"92","AMD","AMD","AMD","true"
"93","BWP","BWP","BWP","true"
"94","SHP","SHP","SHP","true"
"95","TRY","TRY","TRY","true"
"96","LBP","LBP","LBP","true"
"97","TJS","TJS","TJS","true"
"98","JOD","JOD","JOD","true"
"99","HKD","HKD","HKD","true"
"100","RWF","RWF","RWF","true"
"101","AED","AED","AED","true"
"102","EUR","EUR","EUR","true"
"103","LSL","LSL","LSL","true"
"104","DKK","DKK","DKK","true"
"105","CAD","CAD","CAD","true"
"106","BOV","BOV","BOV","true"
"107","BGN","BGN","BGN","true"
"108","MMK","MMK","MMK","true"
"109","NOK","NOK","NOK","true"
"110","MUR","MUR","MUR","true"
"111","SYP","SYP","SYP","true"
"112","GIP","GIP","GIP","true"
"113","RON","RON","RON","true"
"114","LKR","LKR","LKR","true"
"115","NGN","NGN","NGN","true"
"116","CRC","CRC","CRC","true"
"117","CZK","CZK","CZK","true"
"118","PKR","PKR","PKR","true"
"119","XCD","XCD","XCD","true"
"120","ANG","ANG","ANG","true"
"121","HTG","HTG","HTG","true"
"122","BHD","BHD","BHD","true"
"123","KZT","KZT","KZT","true"
"124","SRD","SRD","SRD","true"
"125","SZL","SZL","SZL","true"
"126","LTL","LTL","LTL","true"
"127","SAR","SAR","SAR","true"
"128","TTD","TTD","TTD","true"
"129","YER","YER","YER","true"
"130","MVR","MVR","MVR","true"
"131","AFN","AFN","AFN","true"
"132","INR","INR","INR","true"
"133","AWG","AWG","AWG","true"
"134","KRW","KRW","KRW","true"
"135","NPR","NPR","NPR","true"
"136","JPY","JPY","JPY","true"
"137","MNT","MNT","MNT","true"
"138","AOA","AOA","AOA","true"
"139","PLN","PLN","PLN","true"
"140","GBP","GBP","GBP","true"
"141","SBD","SBD","SBD","true"
"142","HUF","HUF","HUF","true"
"143","BYR","BYR","BYR","true"
"144","BIF","BIF","BIF","true"
"145","MWK","MWK","MWK","true"
"146","MGA","MGA","MGA","true"
"147","XDR","XDR","XDR","true"
"148","BZD","BZD","BZD","true"
"149","BAM","BAM","BAM","true"
"150","EGP","EGP","EGP","true"
"151","MOP","MOP","MOP","true"
"152","NAD","NAD","NAD","true"
"153","NIO","NIO","NIO","true"
"154","PEN","PEN","PEN","true"
"155","NZD","NZD","NZD","true"
"156","WST","WST","WST","true"
"157","CLF","CLF","CLF","true"
"158","BRL","BRL","BRL","true"
